X,palabras.word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,grupo_palabras
429,hondo,0,0,0,0,0,0,0,0,0,0,2
430,aquel,0,0,0,0,0,0,0,0,0,0,2
431,reducto,0,0,0,0,0,0,0,0,0,0,2
432,indestructible,0,0,0,0,0,0,0,1,0,1,2
433,llevamos,0,0,0,0,0,0,0,0,0,0,2
434,dentro,0,0,0,0,0,0,0,0,0,0,2
435,mas,0,0,0,0,0,0,0,0,0,0,2
436,dónde,0,0,0,0,0,0,0,0,0,0,2
437,dónde,0,0,0,0,0,0,0,0,0,0,2
438,hallaba,0,0,0,0,0,0,0,0,0,0,2
439,interior,0,0,1,0,0,0,0,1,0,1,2
440,último,0,0,0,0,0,0,0,0,0,0,2
441,carne,0,0,1,0,0,0,0,0,0,0,2
442,hueso,0,0,0,0,0,0,0,0,0,0,2
443,pensamiento,0,1,0,0,0,0,0,0,0,0,2
444,conciencia,0,0,0,0,0,0,0,1,0,1,2
445,según,0,0,0,0,0,0,0,0,0,0,2
446,enseñaban,0,0,0,0,0,0,0,0,0,0,2
447,sabios,0,0,0,0,0,0,0,0,0,0,2
448,dónde,0,0,0,0,0,0,0,0,0,0,2
449,pues,0,0,0,0,0,0,0,0,0,0,2
450,encontraba,0,0,0,0,0,0,0,0,0,0,2
451,acceder,0,0,0,0,0,0,0,0,0,0,2
452,mismo,0,0,0,0,0,0,0,0,0,0,2
453,atmán,0,0,0,0,0,0,0,0,0,0,2
454,existía,0,0,0,0,0,0,0,0,0,0,2
455,acaso,0,0,0,0,0,0,0,0,0,0,2
456,camino,0,0,0,0,0,0,0,0,0,0,2
457,valiera,0,0,0,0,0,0,0,0,0,0,2
458,pena,1,0,0,1,0,1,0,0,1,0,2
459,buscar,0,1,0,0,0,0,0,0,0,0,2
460,mas,0,0,0,0,0,0,0,0,0,0,2
461,nadie,0,0,0,0,0,0,0,0,0,0,2
462,podía,0,0,0,0,0,0,0,0,0,0,2
463,mostrárselo,0,0,0,0,0,0,0,0,0,0,2
464,nadie,0,0,0,0,0,0,0,0,0,0,2
465,conocía,0,0,0,0,0,0,0,0,0,0,2
466,padre,0,0,0,0,0,0,0,1,0,0,2
467,sabios,0,0,0,0,0,0,0,0,0,0,2
468,maestros,0,0,0,0,0,0,0,0,0,0,2
469,cánticos,0,0,0,0,0,0,0,0,0,0,2
470,propiciatorios,0,0,0,0,0,0,0,0,0,0,2
471,sabían,0,0,0,0,0,0,0,0,0,0,2
472,aquellos,0,0,0,0,0,0,0,0,0,0,2
473,brahmanes,0,0,0,0,0,0,0,0,0,0,2
474,libros,0,0,0,0,0,0,0,0,0,0,2
475,sagrados,0,0,0,0,0,0,0,0,0,0,2
476,conocían,0,0,0,0,0,0,0,0,0,0,2
477,interesado,0,0,1,0,0,1,0,0,0,1,2
478,creación,0,0,0,0,0,0,0,0,0,0,2
479,mundo,0,0,0,0,0,0,0,0,0,0,2
480,origen,0,0,0,0,0,0,0,0,0,0,2
481,lenguaje,0,0,0,0,0,0,0,0,0,0,2
482,alimentos,0,0,0,0,0,0,0,0,0,0,2
483,aspiración,0,0,0,0,0,0,0,0,0,0,2
484,espiración,0,0,0,0,0,0,0,0,0,0,2
485,jerarquía,0,0,0,0,0,0,0,0,0,0,2
486,sentidos,0,0,0,0,0,0,0,0,0,0,2
